ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
133	14	1	1	0.000000	13.000000	13.000000	11.928571	11.000000	0	11	9
134	36	1	1	0.000000	8.305556	7.722222	15.722222	14.277778	0	5	16
135	13	1	1	0.000000	9.538462	9.538462	12.230769	12.230769	0	9	6
136	6	0	0	0.000000	25.500000	21.833333	33.833333	31.833333	0	13	14
137	2	1	1	0.000000	10.000000	10.000000	14.000000	14.000000	0	6	7
138	48	1	1	0.000000	15.937500	13.750000	23.270833	22.833333	0	14	16
139	4	1	1	0.000000	18.250000	18.250000	17.000000	17.000000	0	4	7
140	1	1	0	0.000000	11.000000	11.000000	5.000000	5.000000	0	6	2
141	0	2	2	Inf	Inf	Inf	Inf	Inf	0	12	11
142	1	2	1	0.000000	18.000000	18.000000	12.000000	12.000000	0	9	6
