ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
143	20	1	1	0.000000	10.550000	10.150000	0.000000	0.000000	0	9	0
144	14	1	1	0.000000	13.857143	13.000000	0.000000	0.000000	0	11	0
145	13	1	1	0.000000	10.307692	9.538462	0.000000	0.000000	0	9	0
146	6	0	0	0.000000	25.333333	21.833333	0.000000	0.000000	0	13	0
147	48	1	1	0.000000	15.937500	13.750000	0.000000	0.000000	0	14	0
148	4	1	1	0.000000	19.750000	18.250000	0.000000	0.000000	0	4	0
149	74689	0	1	0.000000	14.830564	0.087148	0.000000	0.000000	0	7486	0
150	27	1	1	0.000000	8.592593	8.592593	0.000000	0.000000	0	6	0
151	1	0	0	0.000000	8.000000	8.000000	0.000000	0.000000	0	5	0
152	1	1	0	0.000000	11.000000	11.000000	0.000000	0.000000	0	6	0
153	1	1	2	0.000000	11.000000	11.000000	0.000000	0.000000	0	6	0
154	1	2	1	0.000000	18.000000	18.000000	0.000000	0.000000	0	9	0
