ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	18	2	2	0.000000	45.666667	20.277778	50.833333	19.555556	0	30	32
2	65	2	2	0.000000	12.646154	9.107692	15.015385	9.507692	0	24	20
3	3	1	1	0.000000	7.000000	7.000000	9.000000	9.000000	0	5	5
4	47	0	0	0.000000	12.553191	12.553191	14.893617	14.063830	0	17	18
5	69	1	1	0.000000	15.434783	14.753623	14.188406	13.072464	0	33	27
6	6	2	3	0.000000	34.666667	27.333333	39.166667	28.000000	0	18	25
7	17	2	1	0.000000	32.823529	16.882353	37.823529	18.941176	0	24	26
8	3	2	1	0.000000	43.333333	41.000000	43.333333	40.000000	0	31	25
9	55	1	1	0.000000	43.909091	18.727273	41.127273	18.472727	0	64	44
10	7	2	1	0.000000	50.857143	22.000000	50.857143	24.000000	0	17	21
11	72	0	0	0.000000	13.416667	8.291667	8.694444	7.500000	0	16	9
12	14	2	1	0.000000	18.071429	13.428571	15.500000	9.357143	0	19	8
13	8	1	1	0.000000	12.500000	12.500000	5.750000	5.750000	0	11	3
14	63	1	2	0.000000	8.650794	8.650794	11.682540	11.682540	0	18	18
15	81	1	1	0.000000	3.506173	3.506173	7.802469	7.802469	0	12	14
16	99455	0	0	0.000000	6.082077	0.969242	6.107063	0.919401	0	8799	8749
17	48	1	1	0.000000	3.687500	3.687500	6.395833	6.395833	0	5	7
18	28	1	1	0.000000	9.750000	9.750000	10.714286	10.714286	0	17	18
19	3	1	2	0.000000	15.666667	15.666667	11.666667	11.666667	0	9	7
20	8	2	2	0.000000	38.500000	24.125000	42.125000	25.875000	0	27	23
21	2	2	1	0.000000	30.000000	17.500000	36.000000	20.000000	0	17	18
22	10	1	1	0.000000	27.800000	13.900000	29.900000	12.500000	0	17	18
23	31	1	1	0.000000	7.000000	7.000000	8.032258	8.032258	0	8	6
24	1	2	2	0.000000	15.000000	15.000000	18.000000	18.000000	0	5	7
25	31	1	1	0.000000	6.935484	6.935484	8.161290	8.161290	0	6	6
26	44	1	1	0.000000	6.636364	6.636364	10.477273	10.477273	0	14	10
27	22	1	1	0.000000	6.136364	6.136364	9.727273	9.727273	0	9	7
28	56	2	2	0.000000	25.196429	25.142857	26.821429	25.303571	0	34	26
29	6	1	1	0.000000	11.500000	11.500000	12.833333	12.833333	0	7	9
30	35	2	1	0.000000	8.885714	8.885714	4.800000	4.800000	0	5	7
31	24	2	1	0.000000	16.208333	12.291667	14.833333	11.458333	0	15	21
32	27	1	1	0.000000	3.888889	3.888889	3.481481	3.481481	0	3	5
33	14	1	1	0.000000	8.571429	8.571429	3.142857	3.142857	0	4	2
34	19	2	2	0.000000	13.526316	10.210526	14.368421	10.052632	0	11	11
35	24	1	1	0.000000	14.166667	8.375000	15.583333	8.250000	0	11	10
36	1	2	2	0.000000	19.000000	19.000000	15.000000	15.000000	0	10	8
37	18	1	1	0.000000	6.833333	6.833333	3.944444	3.944444	0	5	5
38	3	2	1	0.000000	12.666667	12.666667	7.333333	7.333333	0	8	3
39	71	1	1	0.000000	6.859155	6.802817	9.676056	9.507042	0	15	16
40	31	1	0	0.000000	3.548387	3.548387	5.451613	5.451613	0	2	4
41	4	1	1	0.000000	6.750000	2.000000	8.250000	2.000000	0	1	1
42	1	2	2	0.000000	6.000000	6.000000	12.000000	12.000000	0	2	4
43	3	2	1	0.000000	24.000000	9.000000	29.333333	12.666667	0	6	8
44	11	1	1	0.000000	12.727273	12.727273	8.000000	8.000000	0	9	6
45	24	1	1	0.000000	4.583333	4.500000	2.833333	2.666667	0	4	0
46	29	1	0	0.000000	4.620690	4.620690	5.206897	5.206897	0	3	4
