ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	68	1	1	0.000000	12.397059	6.647059	0.000000	0.000000	0	24	0
2	51	1	1	0.000000	12.313725	11.411765	0.000000	0.000000	0	16	0
3	47	0	0	0.000000	12.553191	12.553191	0.000000	0.000000	0	17	0
4	69	1	1	0.000000	14.753623	14.753623	0.000000	0.000000	0	32	0
5	23	2	2	0.000000	25.565217	17.260870	0.000000	0.000000	0	23	0
6	58	1	1	0.000000	43.810345	18.189655	0.000000	0.000000	0	67	0
7	25	2	2	0.000000	47.320000	20.360000	0.000000	0.000000	0	30	0
8	38	0	0	0.000000	9.131579	9.131579	0.000000	0.000000	0	11	0
9	72	1	2	0.000000	10.750000	9.263889	0.000000	0.000000	0	19	0
10	10	1	4	0.000000	21.700000	8.600000	0.000000	0.000000	0	17	0
11	3	1	3	0.000000	35.333333	15.666667	0.000000	0.000000	0	16	0
12	6	3	3	0.000000	48.333333	24.500000	0.000000	0.000000	0	27	0
13	4	2	1	0.000000	31.250000	20.250000	0.000000	0.000000	0	21	0
14	24	1	1	0.000000	14.750000	14.750000	0.000000	0.000000	0	12	0
15	31	1	1	0.000000	7.000000	7.000000	0.000000	0.000000	0	8	0
16	1	2	2	0.000000	15.000000	15.000000	0.000000	0.000000	0	5	0
17	31	1	1	0.000000	6.935484	6.935484	0.000000	0.000000	0	6	0
18	44	1	1	0.000000	6.636364	6.636364	0.000000	0.000000	0	14	0
19	21	1	1	0.000000	5.952381	5.952381	0.000000	0.000000	0	6	0
20	56	2	2	0.000000	25.142857	25.142857	0.000000	0.000000	0	34	0
21	6	1	1	0.000000	11.500000	11.500000	0.000000	0.000000	0	7	0
22	3	2	1	0.000000	12.333333	4.000000	0.000000	0.000000	0	10	0
23	48	1	1	0.000000	4.770833	4.770833	0.000000	0.000000	0	7	0
24	35	2	1	0.000000	8.885714	8.885714	0.000000	0.000000	0	5	0
25	24	1	1	0.000000	10.541667	10.541667	0.000000	0.000000	0	8	0
26	24	1	2	0.000000	13.166667	13.166667	0.000000	0.000000	0	12	0
27	99969	0	0	0.000000	5.896348	0.061439	0.000000	0.000000	0	8675	0
28	31	1	1	0.000000	4.741935	4.741935	0.000000	0.000000	0	6	0
29	18	1	1	0.000000	6.833333	6.833333	0.000000	0.000000	0	5	0
30	3	2	1	0.000000	13.666667	12.666667	0.000000	0.000000	0	8	0
31	4	1	1	0.000000	7.000000	7.000000	0.000000	0.000000	0	3	0
32	1	2	2	0.000000	6.000000	6.000000	0.000000	0.000000	0	2	0
33	1	1	1	0.000000	11.000000	7.000000	0.000000	0.000000	0	8	0
34	4	1	1	0.000000	4.000000	4.000000	0.000000	0.000000	0	4	0
35	24	1	1	0.000000	4.500000	4.500000	0.000000	0.000000	0	4	0
36	10	2	1	0.000000	11.800000	3.400000	0.000000	0.000000	0	8	0
