ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
81	29	1	1	0.000000	9.827586	9.827586	0.000000	0.000000	0	0	0
82	39	1	1	0.000000	6.897436	6.897436	0.000000	0.000000	0	0	0
83	51	1	1	0.000000	9.019608	9.019608	0.000000	0.000000	0	0	0
84	6	1	1	0.000000	12.000000	12.000000	0.000000	0.000000	0	0	0
85	11	2	2	0.000000	36.727273	36.636364	0.000000	0.000000	0	0	0
86	51	1	1	0.000000	3.607843	3.607843	0.000000	0.000000	0	0	0
87	135	0	2	0.000000	4.800000	4.800000	0.000000	0.000000	0	0	0
88	3389	0	1	0.000000	6.743877	6.414577	0.000000	0.000000	0	0	0
89	51	1	1	0.000000	3.294118	3.294118	0.000000	0.000000	0	0	0
90	24	2	2	0.000000	7.083333	7.083333	0.000000	0.000000	0	0	0
91	379	1	0	0.000000	6.680739	6.680739	0.000000	0.000000	0	0	0
92	51	1	1	0.000000	7.686275	7.686275	0.000000	0.000000	0	0	0
93	31	1	1	0.000000	11.516129	11.516129	0.000000	0.000000	0	0	0
94	41	1	1	0.000000	3.317073	3.317073	0.000000	0.000000	0	0	0
95	41	1	1	0.000000	4.975610	4.975610	0.000000	0.000000	0	0	0
96	51	1	1	0.000000	5.745098	5.745098	0.000000	0.000000	0	0	0
97	78	2	2	0.000000	5.294872	5.294872	0.000000	0.000000	0	0	0
98	32	1	2	0.000000	9.250000	9.250000	0.000000	0.000000	0	0	0
99	51	1	1	0.000000	5.529412	5.529412	0.000000	0.000000	0	0	0
100	48	1	1	0.000000	4.041667	4.041667	0.000000	0.000000	0	0	0
101	44	2	2	0.000000	6.204545	6.204545	0.000000	0.000000	0	0	0
102	1	2	2	0.000000	54.000000	54.000000	0.000000	0.000000	0	0	0
103	2	1	1	0.000000	46.500000	42.500000	0.000000	0.000000	0	0	0
104	25	2	1	0.000000	22.920000	21.480000	0.000000	0.000000	0	0	0
105	25	2	1	0.000000	18.520000	18.520000	0.000000	0.000000	0	0	0
106	5	2	2	0.000000	21.800000	21.800000	0.000000	0.000000	0	0	0
107	19	2	2	0.000000	34.000000	25.473684	0.000000	0.000000	0	0	0
108	14	2	1	0.000000	18.285714	18.285714	0.000000	0.000000	0	0	0
109	4	1	1	0.000000	4.000000	4.000000	0.000000	0.000000	0	0	0
110	51	1	1	0.000000	5.882353	5.882353	0.000000	0.000000	0	0	0
111	51	1	1	0.000000	9.274510	9.274510	0.000000	0.000000	0	0	0
112	1	1	2	0.000000	16.000000	16.000000	0.000000	0.000000	0	0	0
113	51	1	1	0.000000	1.058824	1.058824	0.000000	0.000000	0	0	0
114	44	1	2	0.000000	12.159091	12.159091	0.000000	0.000000	0	0	0
115	85	1	1	0.000000	6.105882	6.105882	0.000000	0.000000	0	0	0
116	51	1	1	0.000000	1.764706	1.764706	0.000000	0.000000	0	0	0
117	4	2	1	0.000000	19.750000	19.750000	0.000000	0.000000	0	0	0
118	10	2	1	0.000000	14.900000	14.900000	0.000000	0.000000	0	0	0
119	51	1	1	0.000000	3.450980	3.450980	0.000000	0.000000	0	0	0
120	51	1	1	0.000000	9.901961	9.901961	0.000000	0.000000	0	0	0
121	10	1	1	0.000000	17.300000	11.500000	0.000000	0.000000	0	0	0
122	3	2	1	0.000000	11.000000	11.000000	0.000000	0.000000	0	0	0
123	1	1	1	0.000000	5.000000	5.000000	0.000000	0.000000	0	0	0
124	178	1	0	0.000000	6.814607	6.814607	0.000000	0.000000	0	0	0
125	44	1	1	0.000000	2.886364	2.886364	0.000000	0.000000	0	0	0
126	31	1	1	0.000000	4.322581	4.322581	0.000000	0.000000	0	0	0
