ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	170	1	2	0.000000	13.623529	12.517647	0.000000	0.000000	0	0	0
2	2	1	2	0.000000	30.000000	30.000000	0.000000	0.000000	0	0	0
3	1	4	5	0.000000	592.000000	592.000000	0.000000	0.000000	0	0	0
4	1	1	1	0.000000	12.000000	12.000000	0.000000	0.000000	0	0	0
5	21	1	1	0.000000	16.476190	10.333333	0.000000	0.000000	0	0	0
6	6	2	3	0.000000	43.333333	42.333333	0.000000	0.000000	0	0	0
7	4	1	1	0.000000	42.250000	42.250000	0.000000	0.000000	0	0	0
8	1	1	2	0.000000	110.000000	110.000000	0.000000	0.000000	0	0	0
9	1	1	3	0.000000	127.000000	125.000000	0.000000	0.000000	0	0	0
10	1	1	2	0.000000	131.000000	127.000000	0.000000	0.000000	0	0	0
11	1	1	3	0.000000	134.000000	130.000000	0.000000	0.000000	0	0	0
12	1	1	2	0.000000	168.000000	154.000000	0.000000	0.000000	0	0	0
13	1	1	2	0.000000	167.000000	152.000000	0.000000	0.000000	0	0	0
14	1	1	2	0.000000	169.000000	152.000000	0.000000	0.000000	0	0	0
15	1	2	2	0.000000	171.000000	153.000000	0.000000	0.000000	0	0	0
16	2	1	2	0.000000	171.500000	152.500000	0.000000	0.000000	0	0	0
17	2	2	2	0.000000	176.500000	157.500000	0.000000	0.000000	0	0	0
18	1	2	1	0.000000	196.000000	126.000000	0.000000	0.000000	0	0	0
19	1	4	1	0.000000	225.000000	122.000000	0.000000	0.000000	0	0	0
20	1	1	2	0.000000	173.000000	122.000000	0.000000	0.000000	0	0	0
21	5	3	2	0.000000	186.000000	116.000000	0.000000	0.000000	0	0	0
22	2	2	1	0.000000	181.000000	106.500000	0.000000	0.000000	0	0	0
23	3	2	1	0.000000	10.333333	6.666667	0.000000	0.000000	0	0	0
24	7	2	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
25	10	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
26	1	1	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
27	21	1	1	0.000000	12.476190	11.952381	0.000000	0.000000	0	0	0
28	12	1	1	0.000000	27.250000	25.750000	0.000000	0.000000	0	0	0
29	14	2	2	0.000000	26.000000	24.571429	0.000000	0.000000	0	0	0
30	21	1	1	0.000000	23.000000	11.571429	0.000000	0.000000	0	0	0
31	413	2	2	0.000000	14.978208	13.314770	0.000000	0.000000	0	0	0
32	25	1	1	0.000000	25.080000	22.800000	0.000000	0.000000	0	0	0
